model,lme,bicint,xp,pseudoR2,choiceProbMedianR2,relbic
1,-4824.96104366696,9659.44947539504,0.000651,0.492312205809763,0.785827795291734,1222.50851239551
2,-4974.78104943304,9958.3190010474,0.001958,0.475077245728957,0.733012951043507,1521.37803804787
3,-4957.206903537,9921.09766424011,0,0.474832756923817,0.703001627876475,1484.15670124057
4,-4420.26359793038,8854.33730611457,0,0.550686967947796,0.791023275618029,417.396343115035
5,-4551.68196202766,9127.25336892283,0,0.535425662728272,0.765822965551099,690.31240592329
6,-4595.91341689185,9074.17413139638,4e-06,0.528355039929973,0.750468670025508,637.23316839684
7,-4336.36792946638,8706.8491435297,0,0.565212858512324,0.83205555193651,269.908180530168
8,-4496.7593373045,9023.67706223505,0,0.545829263383792,0.84955601290532,586.736099235517
9,-4385.18095537163,8791.21270387778,0,0.55543803007006,0.795020333543937,354.271740878245
10,-4185.8923965353,8436.94096299954,0.997387,0.592905481717522,0.870385206236699,0
11,-4389.94380264487,8816.11408383202,0,0.567855344100369,0.856905681701179,379.173120832484
12,-4388.19187295288,8793.82337295563,0,0.561244704090384,0.799886158131067,356.882409956097
